Where do you live (or spend most of your time)?,Which language(s) do you feel most comfortable speaking?,Do you identify as a member of the Blockstack community?,How long have you been a member of the community?,Which roles in the Blockstack community do you most strongly identify with?,What's your degree of involvement in *the Blockstack community?*,"What's your degree of involvement in *the blockchain/cryptocurrency space, in general?*",Do you hold STX tokens?,Which other cryptographic tokens do you hold?,What other blockchain/crypto communities do you consider yourself a member of?,How many [Blockstack dapps](https://app.co/blockstack) have you used?,What has been your involvement with [Blockstack dapps](https://app.co/blockstack)?,How have you/your team funded your Dapp project to date?,Have you attended (or watched recordings of) any of these community events? Which ones?,What is/are your primary resources for learning about the Blockstack platform and community?,What are the strengths of the Blockstack community and project? What are its weaknesses?,"In your opinion, what should be the *mission/vision* of the Blockstack project and community?",How well do you understand this mission/vision?,How aligned are you with this mission/vision?,"In your opinion, what are the *shared values* of the Blockstack project and community?",How aligned are you with these values?,What aspects of Blockstack governance have you previously participated in?,Are you interested in participating in governance?,What aspects of governance would you like to participate in?,Do you feel there have been any obstacles that have prevented you from participating in governance?,What limits you from participating in governance today?,How much do you trust the core developers to make technical decisions in the best interest of the protocol?,Who should be in charge of Stacks governance?,Do you support [on chain governance?](https://messari.io/article/on-chain-governance),What challenges (if any) do you see with the _existing governance_ of the Blockstack project and platform?,Do you believe STX tokenholders should participate in Stacks governance?,In what capacity do you believe STX tokenholders should participate in governance?,Which other groups should participate in governance? Why? In what capacity?,Are there any groups that you feel should be _excluded_ from participation in governance? Why?,"In your view, what is the mission of Blockstack PBC?",How well do you understand the mission of Blockstack PBC?,How much do you care about the mission of Blockstack PBC?,Do you trust Blockstack PBC to make decisions in the best interest of the protocol/community?,"Generally, how do you feel about the output or productivity of Blockstack PBC?",Do you feel that Blockstack PBC’s decision making process is clear and transparent?,What should be the future role of Blockstack PBC in governance?,"Do you feel it's a good idea to create a new, independent entity responsible for governance?",What form do you feel this entity should take?,What role should this independent entity play in platform/community governance?,How should it be funded?,What role should the community play in the governance of the entity? Any other thoughts?,What else should we have asked?,Any final thoughts?,In what capacity do you believe STX tokenholders should participate in governance?,Which language(s) do you feel most comfortable speaking?,What is/are your primary resources for learning about the Blockstack platform and community?,What form do you feel this entity should take?,Token
Africa,,,,"Evangelist/Advocate, Designer, Exchange operator, Community leader/evangelist, Investor, Product/Product Manager, Developer, Researcher, App Founder, User, PITA",,,,"Don't own any, Ether (ETH)","Ethereum, EOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s8j7iwi7ogri8ug5o2rs8j7iwi25m3b5
South America,,,,"Investor, Developer, Evangelist/Advocate",,,,Don't own any,Bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rxpn9t4ovuf6xidmk5of5wrrxpn9t4ob
Belgium,,Yes!,1,"Developer, Community member, App Founder",Hobbyist,Hobbyist,No,No others,IPFS,3-5,"Builder/Paid contributor, Founder",Bootstrap (self-funded),"Blockstack summit, Webinars",,,To help us build tools that make our lifes easier,4,5,Privacy first,3,Joined a working group call,Not sure/Don't really understand governance,Working group calls,No,,3,A few trusted people (oligarchy),I'm not informed enough about it,Proper voting,,,,,Like with browser vendors provide the underlying technology,2,4,4,2,3,"Education, Grant funding, Marketing/awareness, Core development",Yes,,"Grant funding, Legal work, Manage token treasury",Donations/charity,Participation,"How will idea's be handled, how will votes be handled",no,Not sure/don't care,Dutch,"Newsletters, Technical articles, Blockstack Forum, Discord/Telegram/WeChat",Non-profit foundation/association,shmx8qp0p9rj1a4sw1xbshmx8dv8xm4q
United Kingdom,,Yes!,1,"User, Community member, Stacker (prospective), Blockstack Evangelist",Hobbyist,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH)","Bitcoin, Ethereum, Cardano",2,User,,"Blockstack summit, Webinars",,"It's strengths are the ideas and the principles - weakness is only that there is not more of a community as yet. However, I think this is both appropriate, and a good thing! Because there is no jaded token-holding community whingeing about roadmap or missed deadlines. This year will be exciting!",Data Dignity is a powerful phrase.,6,6,"From what I have seen, a very persuasive blend of mature sense of mission, self assuredness, and a positively disruptive change agenda and ethos, mixing vision with actually useable products in terms of DAPP ecosystem, with a real chance of adoption. I think anyone who watched the 2019 summit would find it hard to diasgree.",6,Haven't participated,Not sure/Don't really understand governance,not sure tbh,Not sure,I don't understand Blockstack governance well enough,5,maybe a mix of c & d,I'm not informed enough about it,I'm not informed enough about this.,,,"Again, not sure at this point.",Not sure,To create & steer the project?,3,4,6,5,6,"Core development, Manage token treasury",Maybe,,"Core development, Manage token treasury","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC","If the community is involved & consulted, but also steered, I think it's important to not lose or risk the vision of the founding entity.",Not sure!,All good!,"Non-binding voting (i.e., signaling)",English,"Technical articles, Blockstack Forum, Podcasts, Discord/Telegram/WeChat","Corporation (LLC/C Corp/PBC), Not sure/Don't care",dcd98q6p6kovg4uoudcd987xthfwwkps
Southeast Asia,,Yes!,3,"Designer, Product/Product Manager, Community member, Community leader/evangelist, User, App Founder",,,,Don't own any,Bitcoin,,"Founder, User",,"Working group calls, Local meetups","Blockstack Blog, Blockstack Forum, Discord/Slack/Telegram/WeChat, Calls or events",Very delusional and filled with extreme policing from the PBC team.,,4,3,"Blockstack have lose their touch with majority of the community, they only cared about certain community members. Exclusivity exists here.",4,Joined a working group call,,Working group calls,,"I don't feel that my perspective is valued, I don't want to, I don't want to reveal my opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,yy4j3jq4wdxaf21ae6uyy4r1w47o9md6
Romania,,I'm not sure,3,"Investor, User, Researcher",Hobbyist,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH), Atom","Ethereum, Cosmos",1,"User, Investor",,,,No use case for stx,Bring more people into blockchain space,3,5,Not sure,3,Haven't participated,"Yes, technical governance only",Forum/chat,No,,4,"STX tokenholders (plutocracy), Everyone (democracy)",Yes,No idea yet,,,,,Not sure,1,3,5,3,3,"Grant funding, Education, Events, Marketing/awareness, Core development",Maybe,,"Education, Events, Core development, Marketing/awareness",Donations/charity,,Use cases for token?,,"Binding voting (i.e., on-chain governance)",Romanian,Twitter,"Non-profit foundation/association, No legal entity",ipkl4np2uaechipkl4emgtrnn58tiwxo
Canada,,Yes!,1,"Community member, Stacker (prospective), Blockstack Evangelist","Evangelist, not paid",Very involved but not paid work,No,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), Tezos (XTZ)",Monero,More than 10,User,,"Working group calls, Local meetups",,"Strenghts: vision and actually in production. Weakness: deterministic encryption static key with every app is extreme long term risk as exposed by Marvin, whereby blockstack may do no evil, but every app developper becomes the weakest link, and the user no longer has a single counterparty worry (the blockchain) but rather credentials risks exposure at every single app level.",Privacy vision you can really rely on. Set and truly forget. (although not the case: see Marvin work!),3,6,*...Unsure about this question scope?,0,Participated in community discussion,"Yes, all aspects of governance","Working group calls, Review SIPs",Not sure,"I am not a developer, I don't have enough time",4,"While immature or in dev, technocracy. Once mature plutocracy",Not sure/Don't care,"Immaturity needs agility. There can't be only chiefs in the room and tribal voting is more divisive in the beginning when there isn't certainty. In short: you can't evolve in any democratic process in the beginning, its more important to have a capitalist view: only the strongest and best implemented ideas should survive. Once stable, you can submit iterative innovation to vote. Historical example: if everyone was involved in voting the evolution of the cellphone to smartphone, we would probably still disagree today on what the smartphone should be! Leadership, not democracy is crucial in the initial steps.",,,No specific opinion yet on this.,No specific opinion on this yet,Blockstack ecosystem development and promotion to ultimately a self-sovereign decentralized eco-system,5,5,6,5,6,"Grant funding, Marketing/awareness, Events, Legal work, Manage token treasury, App Mining, Core development, Education, Lobbying",Maybe,,"Education, Events, Lobbying, Marketing/awareness, Manage token treasury, Legal work","Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",nothing yet,"The super important role of namespace, and foreseeing the governance role in avoiding future disputes, or at least anticipating potentials for abuse.","Involvement with the community ""full-time"" or ""part-time"" referred to ""paid work"".  The ""paid work"" may be a misrepresentation or too limitative. It should involve another metric than simply money to describe your level of involvment.","Non-binding voting (i.e., signaling)",French,"Discord/Telegram/WeChat, Blockstack Blog, Calls or events, Technical articles",Co-operative,kcwljyo6rth3unc21jkcwljmy9gn11ks
United States,,Yes!,2,"Blockstack Evangelist, Product/Product Manager, User, Working group member, Researcher, Community member, Developer, Stacker (prospective)",Part-Time(Interest),Full-Time(Interest),Yes,"Bitcoin (BTC), Ether (ETH)","Ethereum, Bitcoin",More than 10,"User, Builder/Paid contributor",Bootstrap (self-funded),"Working group calls, Blockstack summit, Local meetups, Webinars, Workshops, Developer updates",,,Providing a platform to build Privacy Focused new Web,4,6,Building Privacy-Focused Web,6,"App Mining, Joined a working group call, Commented on a SIP",Not sure/Don't really understand governance,"Forum/chat, Review SIPs, Author SIPs",Yes,"I don't have enough time, I don't understand Blockstack governance well enough",3,Everyone (democracy),I'm not informed enough about it,I never really understand Governance that well.,,,Not sure,NA,Providing a new decentralized storage and Identity,5,6,5,4,3,"App Mining, Core development, Legal work, Marketing/awareness, Events, Manage token treasury, Education",Maybe,,"Manage token treasury, Education, Events, App Mining, Lobbying","Donations/charity, Endowment from PBC",Not sure,,NA,"Binding voting (i.e., on-chain governance)",English,"Blockstack Forum, Blockstack Blog, Meetups, Discord/Telegram/WeChat, Calls or events, Technical articles, GitHub, other code/developer resources, Newsletters",Non-profit foundation/association,dx3cdybv1h8vofz7gdx3cd5toqh4mvfs
Chile,,I'm not sure,2,"Working group member, Investor",New/still learning,Hobbyist,Yes,No others,None,None yet,Investor,,Webinars,,1st to market in Chile,Get the word out to increase the size,3,3,"efficiency, modernity, making money, social value",6,Haven't participated,"Yes, all aspects of governance",Working group calls,No,,3,STX tokenholders (plutocracy),I'm not informed enough about it,"Not informed about current protocols, so cannot answer",,,"Not sure, please show options..",Operators and management team,As yet I am unaware of the mission,0,3,3,3,3,"Lobbying, Manage token treasury, Legal work, Marketing/awareness, Core development, Education",Yes,,"Education, Marketing/awareness, Core development, Legal work, Lobbying, Grant funding",Ongoing “tax” or “ecosystem fund” from block reward,"thought leadership, flagging risks, case study development, best practice promotion",Background on me and my professional development and suitability for a governance role and credibility in my responses,No.  All good!,"Non-binding voting (i.e., signaling)",English,My partners who are devolpers,Corporation (LLC/C Corp/PBC),v22qp6xlodfp57mv22ogm8czafh4noiu
South Africa,,Yes!,1,"Developer, User, Community member, Stacker (prospective)",Hobbyist,Full-time (paid work),Yes,Bitcoin (BTC),"Bitcoin, Monero, Tari",3-5,User,,"Webinars, Developer updates",,"Friendly and welcoming community, even for people new to DApps.",To drive authentic adoption and growth of the user owned Internet through collaboration and activities such as workshops and hackathons.,5,6,"Privacy, striving for a better Internet.",6,Participated in community discussion,"Yes, technical governance only","Working group calls, Forum/chat, Author SIPs, Review SIPs",Yes,"I don't know where/how to, but I would",5,Everyone (democracy),No,None,,,,,To advance the Blockstack protocol and facilitate engagement with the platform.,4,6,6,5,6,"Education, Lobbying, Events, Core development, Legal work, Marketing/awareness",Yes,,"Education, Events, Core development, Grant funding, Lobbying","Donations/charity, Optional fees attached to payments/transactions, Endowment from PBC",,,,"Non-binding voting (i.e., signaling)",English,"Discord/Telegram/WeChat, GitHub, other code/developer resources, Technical articles",Non-profit foundation/association,dxfsv88ln5aovbf23zedxfsv88b707iv
South Korea,,Yes!,2,"Blockstack Evangelist, Investor, Stacker (prospective), User, Community member, Community leader",Hobbyist,Full-time (paid work),Yes,TRX,"EOS, Ethereum",More than 10,User,,"Webinars, Blockstack summit, Working group calls",,"Overall, we have a strong community base, but the community in Asia looks weak. It needs help.",Data ownership for people all over the world. Representative of Web3.0,5,6,To unite and communicate together. True democracy and decentralization.,6,Haven't participated,Wanna learn about it,Forum/chat,Not sure,Linguistic barriers,4,Everyone (democracy),Yes,"We need enough discussion space for governance proposals, and we need to encourage participation.",,,STX holder and user. These are the people who actually use the Stacks network.,"Employees, but without STX",Blockstack ecosystem support and development,3,3,2,2,2,"Education, Lobbying, Manage token treasury, Core development, Marketing/awareness, Legal work, Grant funding, Events, App Mining",Maybe,,"Manage token treasury, Lobbying, Legal work, Education",Donations/charity,"Community, by community, for community",Support for each local area,Korea is important,"Binding voting (i.e., on-chain governance)",Korean,"Blockstack Blog, Discord/Telegram/WeChat",Corporation (LLC/C Corp/PBC),x318jw9zg47qkr13pn9x31859sat63i4
Spain,,Yes!,2,"Blockstack Evangelist, User, App Founder",,,Prefer not to answer,Prefer not to answer,None,3-5,User,,"Blockstack summit, Working group calls, Local meetups, Webinars, Workshops, Developer updates",,"Strength: mission and vision, technical foundation Weakness: a community so technical (and somehow self-centered) that sometimes looks far from those real end-users whom Blockstack’s mission addresses.","It’s all about fundamental rights! Building an ecosystem of DApps for users to recover identity, privacy and data ownership in the Internet of Value.",5,6,"Democracy, individual rights and freedoms as well as a preference for quality.",6,"Commented on a SIP, Joined a working group call, Participated in community discussion",,"Working group calls, Forum/chat, I may want to bring a SIP at some point, but right now I am bit busy.  Maybe in a few months, I may have more time.",No,,5,The core devs (technocracy),I'm not informed enough about it,"Different kind of decisions need different approaches. Maybe the different matters to be addressed should be considered separately : STX, Community, DApps ecosystem development...",,,"Any group should be able to participate, but categorizing the type of decisions and asking for participation to the group interested in a particular decision would make participation more effective: Developers, Users, as well as Evangelists.

We tend to understand Governance as a whole. Maybe the concept itself implies some degree of centralization which doesn’t fit with the great opportunity blockchain technology provides for communities in terms of organization and decision making. Like in life, I imagine that in Blockstack there are many little decisions on the go related to different matters which could be taken with the participation and/or consultation of different groups of Blockstackers.","For users and evangelists, some kind of proof of commitment should be considered.","At this moment, the founding group has the mission to support the Blockstack ecosystem, managing the funds and providing the research, consultation and technical maintenance. 
In the future, it should keep some of its abilities to acompaña the Foundation as the main advisor, and eventually retaining a  quality vote in case of need.",5,6,5,5,,"Education, Grant funding, Core development",Maybe,,"App Mining, Manage token treasury, Education, Grant funding, Legal work","Endowment from PBC, Donations/charity, Ongoing “tax” or “ecosystem fund” from block reward, Optional fees attached to payments/transactions","The community should have ways of providing information for decision-making according to the community’s needs. In case there is a management board, their members should be elected by the community. The community should participate in a meaningful democratic way in the governance of the entity on a regular basis.",The survey is ok like this.,Thank you!,"Non-binding voting (i.e., signaling)",French,"Blockstack Forum, Blockstack Blog, Calls or events, Newsletters, Discord/Telegram/WeChat",Non-profit foundation/association,pnbnybroz0q107tdtpnbnwmu8vujf2b1
Malaysia,,Yes!,3,"Researcher, Community leader, Blockstack Evangelist, User, Designer",Full-time (paid work),Full-time (paid work),Prefer not to answer,"Bitcoin (BTC), Ether (ETH)",Huobi,,"User, Founder",Bootstrap (self-funded),"Working group calls, STX holder calls, Local meetups, Webinars, Workshops",,Warmth of the community,Allowing developers to create dApps without the need to learn extra technical stuffs,4,4,The need to push the ease of usability,4,"Joined a working group call, App Mining","No, I don't want to participate in governance",,Yes,I don't want to reveal my opinion,3,"STX tokenholders (plutocracy), Everyone (democracy)",Not sure/Don't care,Core members calling the shots,,,Anyone with different opinions,STX Holders. I felt like we pushed them out.,To allow developers to deploy dApps without the need to learn excessive Blockchain knowledge,3,4,4,3,3,"Marketing/awareness, Events, Core development, Legal work",Maybe,,"Grant funding, App Mining","Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",Feedback,Nothing else,Nope,"Binding voting (i.e., on-chain governance)",English,"Discord/Telegram/WeChat, Meetups, Blockstack Blog, Technical articles, Podcasts, Newsletters",Corporation (LLC/C Corp/PBC),p6ohscqlc51o6jpodip6o03knhn7mls5
United States,,I'm not sure,1,Investor,New/still learning,New/still learning,Yes,"Bitcoin (BTC), Ether (ETH), Bitcoin Cash (BCH), Bitcoin SV (BSV), Litecoin (LTC), EOS, Tezos (XTZ)","Bitcoin, Ethereum, Litecoin, EOS, Tezos, Monero, Cardano, Stellar",None yet,None,,STX holder calls,,,,,,,,Haven't participated,"No, I don't want to participate in governance",,Not sure,"I don't have enough time, I don't feel informed enough about Blockstack, I am not a developer, I don't understand Blockstack governance well enough, I don't work for Blockstack",5,A few trusted people (oligarchy),I'm not informed enough about it,,,,,,,0,4,6,5,4,,Not sure/Don't care,,,,,,,Not sure/don't care,English,"Calls or events, Discord/Telegram/WeChat, Newsletters",Not sure/Don't care,geps6x2l8s0au59wxgeps6xfm8cvuels
